,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,Q_0,Q_1,Q_2,Q_3,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,Q_0,Q_1,Q_2,Q_3,Pitch,Yaw,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,Q_0,Q_1,Q_2,Q_3,Pitch,Yaw
160,0.977051,0.056152,0.260742,2.624512,2.807617,-0.732422,-0.182739,-0.599792,0.110291,-0.771118,-74.893799,145.014038,1.013672,-0.068359,-0.161133,0.854492,-0.427246,-0.366211,0.074707,-0.759186,-0.035431,-0.645569,-80.249634,-14.600830,0.998535,0.138672,0.030762,1.159668,-0.122070,-0.183105,-0.215820,0.631622,0.295135,0.683594,-82.309570,144.475708
170,0.977051,0.056152,0.260742,2.624512,2.807617,-0.732422,-0.182739,-0.599792,0.110291,-0.771118,-74.893799,145.014038,1.013672,-0.068359,-0.161133,0.854492,-0.427246,-0.366211,0.074707,-0.759186,-0.035431,-0.645569,-80.249634,-14.600830,0.998535,0.138672,0.030762,1.159668,-0.122070,-0.183105,-0.215820,0.631622,0.295135,0.683594,-82.309570,144.475708
180,0.974121,0.056152,0.265625,2.136230,2.502441,-0.732422,-0.182556,-0.599396,0.109497,-0.771576,-74.811401,144.986572,1.010742,-0.062500,-0.159668,0.671387,0.183105,-0.305176,0.074554,-0.759155,-0.035400,-0.645599,-80.249634,-14.551392,1.000000,0.129883,0.029297,0.549316,-0.244141,-0.305176,-0.215851,0.631592,0.295258,0.683563,-82.304077,144.437256
190,0.974121,0.056152,0.265625,2.136230,2.502441,-0.732422,-0.182556,-0.599396,0.109497,-0.771576,-74.811401,144.986572,1.010742,-0.062500,-0.159668,0.671387,0.183105,-0.305176,0.074554,-0.759155,-0.035400,-0.645599,-80.249634,-14.551392,1.000000,0.129883,0.029297,0.549316,-0.244141,-0.305176,-0.215851,0.631592,0.295258,0.683563,-82.304077,144.437256
200,0.974121,0.056152,0.265625,2.136230,2.502441,-0.732422,-0.182556,-0.599396,0.109497,-0.771576,-74.811401,144.986572,1.010742,-0.062500,-0.159668,0.671387,0.183105,-0.305176,0.074554,-0.759155,-0.035400,-0.645599,-80.249634,-14.551392,1.000000,0.129883,0.029297,0.549316,-0.244141,-0.305176,-0.215851,0.631592,0.295258,0.683563,-82.304077,144.437256
210,0.974609,0.055176,0.266602,1.770020,2.197266,-0.610352,-0.182373,-0.598969,0.108704,-0.772064,-74.718018,144.959106,1.005859,-0.069336,-0.161621,0.610352,0.183105,-0.183105,0.074493,-0.759125,-0.035461,-0.645630,-80.260620,-14.501953,0.990723,0.131348,0.027832,0.061035,-0.305176,-0.366211,-0.215851,0.631592,0.295441,0.683502,-82.293091,144.376831
220,0.974609,0.055176,0.266602,1.770020,2.197266,-0.610352,-0.182373,-0.598969,0.108704,-0.772064,-74.718018,144.959106,1.005859,-0.069336,-0.161621,0.610352,0.183105,-0.183105,0.074493,-0.759125,-0.035461,-0.645630,-80.260620,-14.501953,0.990723,0.131348,0.027832,0.061035,-0.305176,-0.366211,-0.215851,0.631592,0.295441,0.683502,-82.293091,144.376831
230,0.974609,0.055176,0.266602,1.770020,2.197266,-0.610352,-0.182373,-0.598969,0.108704,-0.772064,-74.718018,144.959106,1.005859,-0.069336,-0.161621,0.610352,0.183105,-0.183105,0.074493,-0.759125,-0.035461,-0.645630,-80.260620,-14.501953,0.990723,0.131348,0.027832,0.061035,-0.305176,-0.366211,-0.215851,0.631592,0.295441,0.683502,-82.293091,144.376831
240,0.973145,0.055664,0.266602,1.586914,1.770020,-0.488281,-0.182251,-0.598663,0.108124,-0.772430,-74.652100,144.937134,1.007812,-0.075195,-0.167969,0.244141,0.427246,-0.183105,0.074646,-0.759125,-0.035614,-0.645630,-80.260620,-14.479980,0.995605,0.127930,0.021484,0.244141,0.122070,-0.366211,-0.215912,0.631500,0.295654,0.683441,-82.282104,144.338379
250,0.973145,0.055664,0.266602,1.586914,1.770020,-0.488281,-0.182251,-0.598663,0.108124,-0.772430,-74.652100,144.937134,1.007812,-0.075195,-0.167969,0.244141,0.427246,-0.183105,0.074646,-0.759125,-0.035614,-0.645630,-80.260620,-14.479980,0.995605,0.127930,0.021484,0.244141,0.122070,-0.366211,-0.215912,0.631500,0.295654,0.683441,-82.282104,144.338379
260,0.973145,0.055664,0.266602,1.586914,1.770020,-0.488281,-0.182251,-0.598663,0.108124,-0.772430,-74.652100,144.937134,1.007812,-0.075195,-0.167969,0.244141,0.427246,-0.183105,0.074646,-0.759125,-0.035614,-0.645630,-80.260620,-14.479980,0.995605,0.127930,0.021484,0.244141,0.122070,-0.366211,-0.215912,0.631500,0.295654,0.683441,-82.282104,144.338379
270,0.973145,0.055664,0.266602,1.586914,1.770020,-0.488281,-0.182251,-0.598663,0.108124,-0.772430,-74.652100,144.937134,1.007812,-0.075195,-0.167969,0.244141,0.427246,-0.183105,0.074646,-0.759125,-0.035614,-0.645630,-80.260620,-14.479980,0.995605,0.127930,0.021484,0.244141,0.122070,-0.366211,-0.215912,0.631500,0.295654,0.683441,-82.282104,144.338379
280,0.973145,0.055176,0.266602,1.464844,1.586914,-0.366211,-0.182068,-0.598358,0.107483,-0.772797,-74.586182,144.920654,1.004883,-0.060547,-0.165527,0.244141,0.366211,-0.488281,0.074432,-0.759125,-0.035553,-0.645660,-80.266113,-14.447021,0.995605,0.135254,0.024414,-0.488281,0.122070,-0.671387,-0.215973,0.631378,0.295929,0.683441,-82.265625,144.338379
290,0.973145,0.055176,0.266602,1.464844,1.586914,-0.366211,-0.182068,-0.598358,0.107483,-0.772797,-74.586182,144.920654,1.004883,-0.060547,-0.165527,0.244141,0.366211,-0.488281,0.074432,-0.759125,-0.035553,-0.645660,-80.266113,-14.447021,0.995605,0.135254,0.024414,-0.488281,0.122070,-0.671387,-0.215973,0.631378,0.295929,0.683441,-82.265625,144.338379
300,0.973145,0.055176,0.266602,1.464844,1.586914,-0.366211,-0.182068,-0.598358,0.107483,-0.772797,-74.586182,144.920654,1.004883,-0.060547,-0.165527,0.244141,0.366211,-0.488281,0.074432,-0.759125,-0.035553,-0.645660,-80.266113,-14.447021,0.995605,0.135254,0.024414,-0.488281,0.122070,-0.671387,-0.215973,0.631378,0.295929,0.683441,-82.265625,144.338379
310,0.973145,0.055176,0.266602,1.464844,1.586914,-0.366211,-0.181946,-0.598083,0.107025,-0.773102,-74.536743,144.915161,1.004883,-0.057129,-0.165527,-0.854492,0.244141,-0.244141,0.073639,-0.759155,-0.034973,-0.645752,-80.277100,-14.397583,0.996582,0.131348,0.029297,-1.159668,0.061035,-0.610352,-0.215576,0.631409,0.295746,0.683624,-82.243652,144.338379
320,0.973145,0.055176,0.266602,1.464844,1.586914,-0.366211,-0.181946,-0.598083,0.107025,-0.773102,-74.536743,144.915161,1.004883,-0.057129,-0.165527,-0.854492,0.244141,-0.244141,0.073639,-0.759155,-0.034973,-0.645752,-80.277100,-14.397583,0.996582,0.131348,0.029297,-1.159668,0.061035,-0.610352,-0.215576,0.631409,0.295746,0.683624,-82.243652,144.338379
330,0.973145,0.055176,0.266602,1.464844,1.586914,-0.366211,-0.181946,-0.598083,0.107025,-0.773102,-74.536743,144.915161,1.004883,-0.057129,-0.165527,-0.854492,0.244141,-0.244141,0.073639,-0.759155,-0.034973,-0.645752,-80.277100,-14.397583,0.996582,0.131348,0.029297,-1.159668,0.061035,-0.610352,-0.215576,0.631409,0.295746,0.683624,-82.243652,144.338379
340,0.973145,0.055176,0.268066,1.342773,1.586914,-0.244141,-0.181793,-0.597778,0.106506,-0.773438,-74.470825,144.926147,1.006348,-0.075684,-0.157715,-1.403809,0.610352,-0.488281,0.073212,-0.759064,-0.034760,-0.645905,-80.299072,-14.381104,0.999023,0.132812,0.027344,-0.915527,0.366211,-0.671387,-0.215271,0.631348,0.295654,0.683807,-82.221680,144.354858
